mnist_id,classification_0_lb,classification_0_ub,classification_1_lb,classification_1_ub,classification_2_lb,classification_2_ub,classification_3_lb,classification_3_ub,classification_4_lb,classification_4_ub,classification_5_lb,classification_5_ub,classification_6_lb,classification_6_ub,classification_7_lb,classification_7_ub,classification_8_lb,classification_8_ub,classification_9_lb,classification_9_ub,classification_prediction_idx,classification_target_idx,classification_correct,classification_correct_safe_pgd_attack_success,classification_safe
0,2.6943904526686844e-09,0.09948284356485478,2.6943905122214914e-09,0.09948555619728966,2.6943908957825098e-09,0.0994967857304789,2.6943904530686585e-09,0.09948285461086553,2.694390452679396e-09,0.09948284400839541,2.6943904548505714e-09,0.09948287560092764,2.6943904526674684e-09,0.09948284353072694,0.10465244312885826,0.9999999757504855,2.694390452741176e-09,0.09948284557360912,2.6943904552296414e-09,0.09948290693451457,7,7,True,False,True
1,5.770972749115143e-130,0.09996635076870816,5.770972749155165e-130,0.09996664915429948,1.0,1.0,5.770972749115143e-130,0.09996635075520621,5.7709727491823925e-130,0.09996660299159686,5.770972749115143e-130,0.09996635075528805,5.770972749115143e-130,0.09996635075511925,5.77097274911744e-130,0.09996635992419996,5.770972749115143e-130,0.09996635075805492,5.770972749115143e-130,0.09996635075512439,2,2,True,False,True
2,1.8866350914973766e-10,0.09954534664007046,0.10409187046155653,0.9999999983020285,1.886635091507719e-10,0.09954534689537783,1.8866350914973564e-10,0.09954534663953664,1.886635091499307e-10,0.09954534669397276,1.8866350914973564e-10,0.09954534663960861,1.8866350914973766e-10,0.09954534664034084,1.8866350916650908e-10,0.09954535212369238,1.8866350914974236e-10,0.09954534664131459,1.8866350914973564e-10,0.09954534663961975,1,1,True,False,True
3,1.0,1.0,6.254824941814924e-86,0.10008301271732693,6.25482563684339e-86,0.10191015566908627,6.254824959503853e-86,0.10005068264217468,6.254824935429502e-86,0.09999663168155482,6.2548298957316246e-86,0.10451828580705705,6.254825724509576e-86,0.10237047398584731,6.254824948974902e-86,0.10019983104861364,6.254824936746266e-86,0.10001815363937205,6.2548249971429804e-86,0.1003030931854198,0,0,True,False,True
4,1.003778326354754e-18,0.09975637591578874,1.0037783263989098e-18,0.09975642325756325,1.0037783271180926e-18,0.0997566976377529,1.0037783263097207e-18,0.09975636499781251,1.0,1.0,1.0037783265589224e-18,0.09975642309000622,1.0037783263544472e-18,0.09975639530231586,1.0037783265258929e-18,0.09975644831566768,1.0037783279926235e-18,0.09975668156025574,1.0037783821741354e-18,0.0997763377775748,4,4,True,False,True
5,2.4623618871036555e-34,0.09987010936947276,1.0,1.0,2.4623618871036555e-34,0.09987010937054841,2.4623618871036555e-34,0.09987010936947148,2.4623618871036555e-34,0.09987010937006935,2.4623618871036555e-34,0.09987010936947148,2.4623618871036555e-34,0.09987010936947276,2.4623618871036905e-34,0.09987010938423568,2.4623618871036555e-34,0.09987010936947405,2.4623618871036555e-34,0.09987010936947148,1,1,True,False,True
6,1.56617938802263e-157,0.099998820275229,1.5661830896466092e-157,0.18113103291833932,1.5661797116732557e-157,0.10274030385997282,1.5661793855848926e-157,0.09997492670752854,1.0,1.0,1.566179515683601e-157,0.10098197323970241,1.566179390427783e-157,0.10008423850909305,1.5661814405779306e-157,0.11835042066058628,1.566180060272883e-157,0.10392621775675931,1.566179477364423e-157,0.1007379910052713,4,4,True,False,True
7,7.296332812303146e-48,0.09997865422065036,7.296332450904788e-48,0.09991105826760623,7.296332503107211e-48,0.09992048358711311,7.296333277240897e-48,0.10014866019446839,7.296710232391173e-48,0.2339687898649169,7.296333608430047e-48,0.10010975083200467,7.296332445949375e-48,0.09990847591184687,7.296332795644461e-48,0.09996500034937816,7.296333373292925e-48,0.10003321652763658,1.0,1.0,9,9,True,False,True
8,6.617706635702418e-95,0.10001704384886843,6.617706604808452e-95,0.10000751640460709,6.617706939297039e-95,0.10049298975280017,6.61771800468405e-95,0.10942813506690952,6.617706604832903e-95,0.09997786628006604,1.0,1.0,6.617724184574832e-95,0.1428849091232431,6.617706594746387e-95,0.09996514051238459,6.617711953843059e-95,0.10692144466202291,6.617707345746054e-95,0.10147466126454421,5,5,True,False,True
9,8.141591111932965e-21,0.09978373099154278,8.141591056800788e-21,0.0997820491384683,8.141591062339065e-21,0.09978229732914758,8.14159132746204e-21,0.09979504212906602,8.141614428904535e-21,0.10052770862669956,8.141592283167475e-21,0.09981078214514634,8.14159105575053e-21,0.09978198650362542,8.141593087714654e-21,0.09983653374123802,8.14159121001289e-21,0.09978552481902843,1.0,1.0,9,9,True,False,True
10,0.10524627812754854,0.9999997850787639,2.3880137342574558e-08,0.09941707848920985,2.3880137343553112e-08,0.09941708199237285,2.3880137342594748e-08,0.09941707853465014,2.3880137342590592e-08,0.09941707857594397,2.3880137393116825e-08,0.09941716237899123,2.3880137343530123e-08,0.09941708229724648,2.388013734257668e-08,0.09941707850485643,2.388013734257286e-08,0.0994170784642982,2.3880137351091583e-08,0.09941712046814244,0,0,True,False,True
11,8.682449551815209e-84,0.09994761035802006,8.682449551807806e-84,0.09994760631076388,8.682449551810028e-84,0.09994760823963919,8.682449551808053e-84,0.09994760643178084,8.682449551931192e-84,0.09994772346999495,8.682449747032044e-84,0.10005057083871974,1.0,1.0,8.682449551807065e-84,0.09994760487083021,8.68244955224138e-84,0.09994805057536216,8.682449551807312e-84,0.0999476050130146,6,6,True,False,True
12,3.1259538852877597e-16,0.09971696072861669,3.125953881303241e-16,0.09971675323006128,3.125953881354638e-16,0.0997167565285188,3.125953890804076e-16,0.09971743515480405,3.1259550877602295e-16,0.09979385942699708,3.1259539111150544e-16,0.09971805955775384,3.125953881299687e-16,0.0997167529020175,3.125953892456104e-16,0.09971725310815738,3.1259538900211524e-16,0.0997170906051355,0.10020858140995649,0.9999999999999971,9,9,True,False,True
13,1.0,1.0,3.469464433921322e-21,0.09978594645751734,3.4694644445674975e-21,0.0997885580111646,3.4694644342496626e-21,0.09978600621579388,3.469464433996338e-21,0.09978596266431482,3.469464536967809e-21,0.0997947963200897,3.469464436944499e-21,0.09978681769054105,3.469464434350588e-21,0.09978616789527828,3.4694644339743734e-21,0.09978596089006389,3.469464454566064e-21,0.09979447083338171,0,0,True,False,True
14,5.8400982132737455e-30,0.09985055454846284,1.0,1.0,5.8400982132737455e-30,0.09985055454896993,5.8400982132737455e-30,0.09985055454840411,5.840098213273828e-30,0.09985055455435764,5.8400982132737455e-30,0.09985055454841177,5.8400982132737455e-30,0.09985055454842455,5.8400982132737455e-30,0.09985055454879878,5.8400982132737455e-30,0.09985055454844372,5.8400982132737455e-30,0.09985055454841049,1,1,True,False,True
15,6.937239034720505e-152,0.09997496536947421,6.937239060103149e-152,0.10033187486272611,6.937239102956473e-152,0.10030696681987783,6.937270309261038e-152,0.2040130324987528,6.9372390344752274e-152,0.09997478342096885,1.0,1.0,6.9372391414752515e-152,0.10055651998420868,6.9372392906464e-152,0.10168587796793656,6.937239228965879e-152,0.10048757237968282,6.9372392361021845e-152,0.10063254263337139,5,5,True,False,True
16,4.1603799585415637e-10,0.09952851939297201,4.1603799494357124e-10,0.09952840610034122,4.1603799494731816e-10,0.09952840677264622,4.160379952021615e-10,0.09952844934229067,4.1603834693841005e-10,0.09957776433213743,4.160379990742374e-10,0.09952887520391984,4.160379949434737e-10,0.09952840608194155,4.160379974359482e-10,0.09952873340444345,4.160379960713298e-10,0.09952854166827836,0.1042384324419918,0.9999999962556576,9,9,True,False,True
17,1.258737071249892e-10,0.09955356158945897,1.2587370774311906e-10,0.0995543968198297,1.258737157513714e-10,0.09956219513748944,1.258737071288176e-10,0.09955356491624875,1.2587370712503122e-10,0.09955356164415965,1.2587370717012663e-10,0.09955358133652757,1.2587370712498337e-10,0.09955356158458459,0.10401684368192052,0.9999999988671366,1.2587370712554415e-10,0.0995535620752743,1.2587370713683266e-10,0.09955357076094763,7,7,True,False,True
18,0.0,,0.0,,0.0,,,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3,3,True,False,False
19,6.259536754755547e-53,0.09991745559113825,6.2595368196332415e-53,0.09997844205809908,6.259537188693483e-53,0.10005778597049088,6.259536752197604e-53,0.0999165384082972,1.0,1.0,6.259536780821019e-53,0.0999251905893381,6.259536759167634e-53,0.09992288927687766,6.2595368794942325e-53,0.09997081041851913,6.259536815106226e-53,0.09993287698434532,6.259536791008492e-53,0.09993278045843802,4,4,True,False,True
20,9.427734779071774e-278,0.10012586051536314,9.427735788730172e-278,0.13533043080837842,9.427737477895616e-278,0.13837150534337028,9.427734866717912e-278,0.10134461015356394,9.427781506021818e-278,0.997328925359385,9.427735483938647e-278,0.10450719078081,9.427734768372972e-278,0.09998686056298649,1.0,1.0,9.427734916027573e-278,0.10111082527605104,9.428712751791771e-278,1.0,7,9,False,False,False
21,1.3806431275474758e-72,0.09993941752322662,1.3806431275474758e-72,0.09993941751022131,1.3806431275474758e-72,0.09993941751229725,1.3806431275474758e-72,0.09993941752290193,1.380643127547515e-72,0.0999394177918259,1.3806431296792802e-72,0.09994885581342415,1.0,1.0,1.3806431275474758e-72,0.09993941750990686,1.380643127547829e-72,0.09993942003319396,1.3806431275474758e-72,0.09993941751022642,6,6,True,False,True
22,6.329689644739405e-26,0.09982645941744596,6.329689644739091e-26,0.09982645938734139,6.329689644739091e-26,0.0998264593878177,6.329689644739091e-26,0.09982645938605034,6.329689644764861e-26,0.09982646243485523,6.329689649118095e-26,0.0998268699232825,1.0,1.0,6.329689644739091e-26,0.0998264593846533,6.329689644743903e-26,0.09982646006824407,6.329689644739091e-26,0.09982645938495785,6,6,True,False,True
23,1.5506720018238847e-101,0.09995685606711095,1.5506720018237524e-101,0.09995685698020765,1.550672001830716e-101,0.09995690324272524,1.5506733911188895e-101,0.10364293922620141,1.5506720018238847e-101,0.099956858174839,1.0,1.0,1.5506720018276307e-101,0.09995694664973881,1.55067200182481e-101,0.09995686323234819,1.5506720019211092e-101,0.09995719533000548,1.5506720191440342e-101,0.10001556736882143,5,5,True,False,True
